CITY,STATE,COUNTRY,POSTALCODE,LOCATION_ID
Stuttgart,Baden-Württemberg,Germany,70174,1
Oslo,Oslo,Norway,0171,2
Brussels,Brussels-Capital,Belgium,1000,3
Edmonton,AB,Canada,T6G 2C7,4
Boston,MA,USA,2113,5
Frankfurt,Hesse,Germany,60316,6
Berlin,Berlin,Germany,10779,7
Paris,Île-de-France,France,75002,8
Bordeaux,Nouvelle-Aquitaine,France,33000,9
Dublin,Dublin,Ireland,D02 A529,10
London,England,United Kingdom,N1 5LH,11
Mountain View,CA,USA,94043-1351,12
Redmond,WA,USA,98052-8300,13
Cupertino,CA,USA,95014,14
Reno,NV,USA,89503,15
Madison,WI,USA,53703,16
Halifax,NS,Canada,B3S 1C5,17
Edinburgh ,Scotland,United Kingdom,EH4 1HH,18
Sidney,NSW,Australia,2010,19
Santiago,SA,Chile,8320000,20
Bangalore,Karnataka,India,560001,21
São Paulo,SP,Brazil,01007-010,22
Yellowknife,NT,Canada,X1A 1N6,23
Lisbon,Lisbon,Portugal,1100-042,24
Berlin,Berlin,Germany,10789,25
Amsterdam,VV,Netherlands,1016,26
Rio de Janeiro,RJ,Brazil,20040-020,27
Brasília,DF,Brazil,71020-677,28
Vancouver,BC,Canada,V6C 1G8,29
Tucson,AZ,USA,85719,30
Madrid,Community of Madrid,Spain,28015,31
Stockholm,SC,Sweden,11230,32
London,England,United Kingdom,SW1V 3EN,33
Prague,Prague,Czech Republic,14300,34
Toronto,ON,Canada,M6J 1V1,35
Ottawa,ON,Canada,K2P 1L7,36
Winnipeg,MB,Canada,R3L 2B9,37
Helsinki,Uusimaa,Finland,00530,38
Copenhagen,Hovedstaden,Denmark,1720,39
São Paulo,SP,Brazil,01310-200,40
Rome,RM,Italy,00192,41
Warsaw,Mazowieckie,Poland,00-358,42
Fort Worth,TX,USA,76110,43
Salt Lake City,UT,USA,84102,44
Prague,Prague,Czech Republic,14700,45
Vienne,,Austria,1010,46
Dijon,Bourgogne-Franche-Comté,France,21000,47
Budapest,Budapest,Hungary,H-1073,48
Orlando,FL,USA,32801,49
Chicago,IL,USA,60611,50
São José dos Campos,SP,Brazil,12227-000,51
Montréal,QC,Canada,H2G 1A7,52
Paris,Île-de-France,France,75009,53
Lyon,Auvergne-Rhône-Alpes,France,69002,54
New York,NY,USA,10012-2612,55
Mountain View,CA,USA,94040-111,56
Buenos Aires,BA,Argentina,1106,57
Delhi,Delhi,India,110017,58
Porto,Porto,Portugal,4350-414,59
