AlbumId,Title,ArtistId
1.0,For Those About To Rock We Salute You,1.0
2.0,Balls to the Wall,2.0
3.0,Restless and Wild,2.0
4.0,Let There Be Rock,1.0
5.0,Big Ones,3.0
6.0,Jagged Little Pill,4.0
7.0,Facelift,5.0
8.0,Warner 25 Anos,6.0
9.0,Plays Metallica By Four Cellos,7.0
10.0,Audioslave,8.0
11.0,Out Of Exile,8.0
12.0,BackBeat Soundtrack,9.0
13.0,The Best Of Billy Cobham,10.0
14.0,Alcohol Fueled Brewtality Live! [Disc 1],11.0
15.0,Alcohol Fueled Brewtality Live! [Disc 2],11.0
16.0,Black Sabbath,12.0
17.0,Black Sabbath Vol. 4 (Remaster),12.0
18.0,Body Count,13.0
19.0,Chemical Wedding,14.0
20.0,The Best Of Buddy Guy - The Millenium Collection,15.0
21.0,Prenda Minha,16.0
22.0,Sozinho Remix Ao Vivo,16.0
23.0,Minha Historia,17.0
24.0,Afrociberdelia,18.0
25.0,Da Lama Ao Caos,18.0
26.0,Acústico MTV [Live],19.0
27.0,Cidade Negra - Hits,19.0
28.0,Na Pista,20.0
29.0,Axé Bahia 2001,21.0
30.0,BBC Sessions [Disc 1] [Live],22.0
31.0,Bongo Fury,23.0
32.0,Carnaval 2001,21.0
33.0,Chill: Brazil (Disc 1),24.0
34.0,Chill: Brazil (Disc 2),6.0
35.0,Garage Inc. (Disc 1),50.0
36.0,Greatest Hits II,51.0
37.0,Greatest Kiss,52.0
38.0,Heart of the Night,53.0
39.0,International Superhits,54.0
40.0,Into The Light,55.0
41.0,Meus Momentos,56.0
42.0,Minha História,57.0
43.0,MK III The Final Concerts [Disc 1],58.0
44.0,Physical Graffiti [Disc 1],22.0
45.0,Sambas De Enredo 2001,21.0
46.0,Supernatural,59.0
47.0,The Best of Ed Motta,37.0
48.0,The Essential Miles Davis [Disc 1],68.0
49.0,The Essential Miles Davis [Disc 2],68.0
50.0,The Final Concerts (Disc 2),58.0
51.0,Up An' Atom,69.0
52.0,Vinícius De Moraes - Sem Limite,70.0
53.0,Vozes do MPB,21.0
54.0,"Chronicle, Vol. 1",76.0
55.0,"Chronicle, Vol. 2",76.0
56.0,Cássia Eller - Coleção Sem Limite [Disc 2],77.0
57.0,Cássia Eller - Sem Limite [Disc 1],77.0
58.0,Come Taste The Band,58.0
59.0,Deep Purple In Rock,58.0
60.0,Fireball,58.0
61.0,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,58.0
62.0,Machine Head,58.0
63.0,Purpendicular,58.0
64.0,Slaves And Masters,58.0
65.0,Stormbringer,58.0
66.0,The Battle Rages On,58.0
67.0,Vault: Def Leppard's Greatest Hits,78.0
68.0,Outbreak,79.0
69.0,Djavan Ao Vivo - Vol. 02,80.0
70.0,Djavan Ao Vivo - Vol. 1,80.0
71.0,Elis Regina-Minha História,41.0
72.0,The Cream Of Clapton,81.0
73.0,Unplugged,81.0
74.0,Album Of The Year,82.0
75.0,Angel Dust,82.0
76.0,King For A Day Fool For A Lifetime,82.0
77.0,The Real Thing,82.0
78.0,Deixa Entrar,83.0
79.0,In Your Honor [Disc 1],84.0
80.0,In Your Honor [Disc 2],84.0
81.0,One By One,84.0
82.0,The Colour And The Shape,84.0
83.0,My Way: The Best Of Frank Sinatra [Disc 1],85.0
84.0,Roda De Funk,86.0
85.0,As Canções de Eu Tu Eles,27.0
86.0,Quanta Gente Veio Ver (Live),27.0
87.0,Quanta Gente Veio ver--Bônus De Carnaval,27.0
88.0,Faceless,87.0
89.0,American Idiot,54.0
90.0,Appetite for Destruction,88.0
91.0,Use Your Illusion I,88.0
92.0,Use Your Illusion II,88.0
93.0,Blue Moods,89.0
94.0,A Matter of Life and Death,90.0
95.0,A Real Dead One,90.0
96.0,A Real Live One,90.0
97.0,Brave New World,90.0
98.0,Dance Of Death,90.0
99.0,Fear Of The Dark,90.0
100.0,Iron Maiden,90.0
101.0,Killers,90.0
102.0,Live After Death,90.0
103.0,Live At Donington 1992 (Disc 1),90.0
104.0,Live At Donington 1992 (Disc 2),90.0
105.0,No Prayer For The Dying,90.0
106.0,Piece Of Mind,90.0
107.0,Powerslave,90.0
108.0,Rock In Rio [CD1],90.0
109.0,Rock In Rio [CD2],90.0
110.0,Seventh Son of a Seventh Son,90.0
111.0,Somewhere in Time,90.0
112.0,The Number of The Beast,90.0
113.0,The X Factor,90.0
114.0,Virtual XI,90.0
115.0,Sex Machine,91.0
116.0,Emergency On Planet Earth,
117.0,Synkronized,92.0
118.0,The Return Of The Space Cowboy,92.0
119.0,Get Born,93.0
120.0,Are You Experienced?,94.0
121.0,Surfing with the Alien (Remastered),95.0
122.0,Jorge Ben Jor 25 Anos,46.0
123.0,Jota Quest-1995,96.0
124.0,Cafezinho,97.0
125.0,Living After Midnight,98.0
126.0,Unplugged [Live],52.0
127.0,BBC Sessions [Disc 2] [Live],22.0
128.0,Coda,22.0
129.0,Houses Of The Holy,22.0
130.0,In Through The Out Door,22.0
131.0,IV,22.0
132.0,Led Zeppelin I,22.0
133.0,Led Zeppelin II,22.0
134.0,Led Zeppelin III,22.0
135.0,Physical Graffiti [Disc 2],22.0
136.0,Presence,22.0
137.0,The Song Remains The Same (Disc 1),22.0
138.0,The Song Remains The Same (Disc 2),22.0
139.0,A TempestadeTempestade Ou O Livro Dos Dias,99.0
140.0,Mais Do Mesmo,99.0
141.0,Greatest Hits,100.0
142.0,Lulu Santos - RCA 100 Anos De Música - Álbum 01,101.0
143.0,Lulu Santos - RCA 100 Anos De Música - Álbum 02,101.0
144.0,Misplaced Childhood,102.0
145.0,Barulhinho Bom,103.0
146.0,Seek And Shall Find: More Of The Best (1963-1981),104.0
147.0,The Best Of Men At Work,105.0
148.0,Black Album,50.0
149.0,Garage Inc. (Disc 2),ERROR
150.0,Kill 'Em All,50.0
151.0,Load,50.0
152.0,Master Of Puppets,50.0
153.0,ReLoad,50.0
154.0,Ride The Lightning,50.0
155.0,St. Anger,50.0
156.0,...And Justice For All,50.0
157.0,Miles Ahead,68.0
158.0,Milton Nascimento Ao Vivo,42.0
159.0,Minas,42.0
160.0,Ace Of Spades,106.0
161.0,Demorou...,108.0
162.0,Motley Crue Greatest Hits,109.0
163.0,From The Muddy Banks Of The Wishkah [Live],110.0
164.0,Nevermind,110.0
165.0,Compositores,111.0
166.0,Olodum,112.0
167.0,Acústico MTV,113.0
168.0,Arquivo II,113.0
169.0,Arquivo Os Paralamas Do Sucesso,113.0
170.0,Bark at the Moon (Remastered),114.0
171.0,Blizzard of Ozz,114.0
172.0,Diary of a Madman (Remastered),114.0
173.0,No More Tears (Remastered),114.0
174.0,Tribute,114.0
175.0,Walking Into Clarksdale,115.0
176.0,Original Soundtracks 1,116.0
177.0,The Beast Live,117.0
178.0,Live On Two Legs [Live],118.0
179.0,Pearl Jam,118.0
180.0,Riot Act,118.0
181.0,Ten,118.0
182.0,Vs.,118.0
183.0,Dark Side Of The Moon,120.0
LOGIC_ERROR,Os Cães Ladram Mas A Caravana Não Pára,121.0
185.0,Greatest Hits I,51.0
186.0,News Of The World,51.0
187.0,Out Of Time,122.0
188.0,Green,124.0
189.0,New Adventures In Hi-Fi,124.0
190.0,The Best Of R.E.M.: The IRS Years,124.0
191.0,Cesta Básica,125.0
192.0,Raul Seixas,126.0
193.0,Blood Sugar Sex Magik,127.0
194.0,By The Way,127.0
195.0,Californication,127.0
196.0,Retrospective I (1974-1980),128.0
197.0,Santana - As Years Go By,59.0
198.0,Santana Live,59.0
199.0,Maquinarama,130.0
200.0,O Samba Poconé,130.0
201.0,Judas 0: B-Sides and Rarities,131.0
202.0,Rotten Apples: Greatest Hits,131.0
203.0,A-Sides,132.0
204.0,Morning Dance,53.0
205.0,In Step,133.0
206.0,Core,134.0
207.0,Mezmerize,
208.0,LOGIC_ERROR,136.0
209.0,Live [Disc 1],137.0
210.0,Live [Disc 2],137.0
211.0,The Singles,138.0
212.0,12345,139.0
213.0,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",139.0
214.0,The Doors,140.0
215.0,The Police Greatest Hits,141.0
216.0,"Hot Rocks, 1964-1971 (Disc 1)",142.0
217.0,No Security,142.0
218.0,Voodoo Lounge,142.0
219.0,Tangents,143.0
220.0,Transmission,12345
221.0,My Generation - The Very Best Of The Who,144.0
222.0,12345,145.0
223.0,Serie Sem Limite (Disc 2),145.0
224.0,Acústico,146.0
225.0,Volume Dois,146.0
226.0,Battlestar Galactica: The Story So Far,147.0
227.0,"Battlestar Galactica, Season 3",147.0
228.0,"Heroes, Season 1",148.0
229.0,"Lost, Season 3",149.0
230.0,"Lost, Season 1",149.0
231.0,"Lost, Season 2",149.0
232.0,Achtung Baby,150.0
233.0,All That You Can't Leave Behind,150.0
234.0,B-Sides 1980-1990,150.0
235.0,How To Dismantle An Atomic Bomb,150.0
236.0,Pop,150.0
237.0,Rattle And Hum,150.0
238.0,The Best Of 1980-1990,150.0
239.0,War,150.0
240.0,Zooropa,150.0
241.0,UB40 The Best Of - Volume Two [UK],151.0
242.0,Diver Down,152.0
243.0,"The Best Of Van Halen, Vol. I",152.0
244.0,Van Halen,152.0
245.0,Van Halen III,152.0
246.0,Contraband,153.0
247.0,Vinicius De Moraes,72.0
248.0,LOGIC_ERROR,155.0
249.0,"The Office, Season 1",156.0
250.0,"The Office, Season 2",156.0
251.0,"The Office, Season 3",156.0
